customer_id,visit_timestamp,page_viewed
1003,2026-04-29 19:06:44,Policy_Details
1003,2026-04-26 19:06:44,Policy_Details
1003,2026-04-28 19:06:44,Dashboard
1004,2026-05-01 19:06:44,Eligibility_Check
1004,2026-04-27 19:06:44,Policy_Details
1004,2026-04-28 19:06:44,Dashboard
1004,2026-05-08 19:06:44,Policy_Details
1004,2026-05-05 19:06:44,Premium_Payment
1005,2026-04-27 19:06:44,Dashboard
1006,2026-04-30 19:06:44,Premium_Payment
1006,2026-05-07 19:06:44,Premium_Payment
1006,2026-05-08 19:06:44,Premium_Payment
1006,2026-05-04 19:06:44,Eligibility_Check
1006,2026-05-05 19:06:44,Dashboard
1007,2026-05-03 19:06:44,Dashboard
1007,2026-05-07 19:06:44,Premium_Payment
1008,2026-04-26 19:06:44,Premium_Payment
1008,2026-05-04 19:06:44,Premium_Payment
1010,2026-05-03 19:06:44,Premium_Payment
1011,2026-04-29 19:06:44,Premium_Payment
1011,2026-04-26 19:06:44,Policy_Details
1014,2026-04-27 19:06:44,Dashboard
1014,2026-04-28 19:06:44,Eligibility_Check
1015,2026-04-28 19:06:44,Dashboard
1015,2026-05-07 19:06:44,Policy_Details
1015,2026-04-27 19:06:44,Eligibility_Check
1015,2026-05-03 19:06:44,Dashboard
1015,2026-05-05 19:06:44,Policy_Details
1016,2026-05-01 19:06:44,Eligibility_Check
1016,2026-04-28 19:06:44,Premium_Payment
1017,2026-04-27 19:06:44,Policy_Details
1017,2026-05-04 19:06:44,Dashboard
1018,2026-05-02 19:06:44,Policy_Details
1018,2026-05-03 19:06:44,Premium_Payment
1018,2026-05-07 19:06:44,Premium_Payment
1018,2026-05-03 19:06:44,Eligibility_Check
1018,2026-04-27 19:06:44,Policy_Details
1018,2026-04-26 19:06:44,Policy_Details
1018,2026-04-26 19:06:44,Premium_Payment
1018,2026-05-08 19:06:44,Policy_Details
1019,2026-05-07 19:06:44,Premium_Payment
1020,2026-04-26 19:06:44,Premium_Payment
1020,2026-05-01 19:06:44,Premium_Payment
1020,2026-05-05 19:06:44,Policy_Details
1020,2026-04-25 19:06:44,Dashboard
1021,2026-05-08 19:06:44,Policy_Details
1021,2026-05-05 19:06:44,Eligibility_Check
1022,2026-04-26 19:06:44,Premium_Payment
1022,2026-04-27 19:06:44,Dashboard
1022,2026-05-04 19:06:44,Premium_Payment
1022,2026-05-05 19:06:44,Dashboard
1023,2026-04-27 19:06:44,Premium_Payment
1024,2026-05-04 19:06:44,Eligibility_Check
1024,2026-04-29 19:06:44,Eligibility_Check
1024,2026-05-01 19:06:44,Premium_Payment
1024,2026-05-02 19:06:44,Eligibility_Check
1024,2026-04-28 19:06:44,Premium_Payment
1025,2026-04-30 19:06:44,Dashboard
1025,2026-05-06 19:06:44,Eligibility_Check
1026,2026-04-29 19:06:44,Eligibility_Check
1026,2026-04-30 19:06:44,Premium_Payment
1026,2026-05-01 19:06:44,Policy_Details
1027,2026-05-06 19:06:44,Dashboard
1027,2026-04-30 19:06:44,Dashboard
1027,2026-05-02 19:06:44,Dashboard
1027,2026-05-06 19:06:44,Eligibility_Check
1027,2026-05-05 19:06:44,Dashboard
1027,2026-04-25 19:06:44,Policy_Details
1027,2026-05-06 19:06:44,Dashboard
1027,2026-05-02 19:06:44,Policy_Details
